7.884480189057356370e+00,8.762078917051226767e+00,9.651387350552440125e+00,1.067059325537927350e+01,1.174296672815752629e+01,1.260142692741614212e+01,1.380393237891969704e+01,1.490327353130759036e+01,1.597570051714480144e+01,1.704172290588594763e+01,7.553501670648152810e-01,1.755123953640289614e+00,2.842921356808485456e+00,3.691330053703548941e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.390587352956995204e+00,6.824265359099651818e+00,7.261653133670588289e+00
8.018079517155470626e+00,8.960991839416308835e+00,9.860224321391271474e+00,1.089223265993065581e+01,1.196901127314104940e+01,1.282044908879190359e+01,1.403367028279272688e+01,1.513551514856307278e+01,1.620854118649050690e+01,1.727382707189558175e+01,9.856260255975222151e-01,1.983495053367956729e+00,3.068121198070397071e+00,3.913270953233787708e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.390587352956995204e+00,6.824265359099651818e+00,7.297358096552695628e+00
8.175808247628353342e+00,9.171986837386370439e+00,1.007454069463484814e+01,1.111631193830457676e+01,1.219509691819580155e+01,1.304020741368601932e+01,1.426371262390897243e+01,1.536787726687491329e+01,1.644139640264380375e+01,2.058396207928261390e-01,1.215794306174014849e+00,2.211723011240760428e+00,3.293126421071203680e+00,4.118981458210381419e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.390587352956995204e+00,6.824266536376367043e+00,7.373201437968273098e+00
8.352058674929409676e+00,9.391785325276444496e+00,1.029295421347113404e+01,1.134217418632688634e+01,1.242095378803843175e+01,1.326057359406242142e+01,1.449400123624904779e+01,1.560033264729430869e+01,1.667425056994598265e+01,4.377542093092721132e-01,1.445849197962782995e+00,2.439805856035714982e+00,3.516572578666139037e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.390587352956995204e+00,6.835032013900072201e+00,7.484476626017364964e+00
8.542387125857416663e+00,9.617883291646322164e+00,1.051442924991478378e+01,1.156932028114140110e+01,1.264641346300645353e+01,1.348144990037918944e+01,1.472449221633429772e+01,1.583286041884493045e+01,1.690709108514836601e+01,6.695657236760688136e-01,1.675785547001279241e+00,2.667707639222381744e+00,3.721412007173338310e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.390587352956995204e+00,6.882839052880907360e+00,7.624287175584353093e+00
8.743361680180939288e+00,9.848377425731897006e+00,1.073819108131549172e+01,1.179736904558824051e+01,1.287138694971288544e+01,1.370276138624440421e+01,1.495515224469731663e+01,1.606544441181573291e+01,1.713990758719829444e+01,9.012699233935812515e-01,1.905597468998191601e+00,2.894890305639105321e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.391066852031311640e+00,6.970488054408573220e+00,7.786282867501963523e+00
8.952367528396067087e+00,1.008182583258387410e+01,1.096366040396146957e+01,1.202602764004946323e+01,1.309584625329630114e+01,1.392445010662886773e+01,1.518595585762268740e+01,1.629807192318644127e+01,7.269139804554569650e-02,1.132863134759357848e+00,2.135261885764290213e+00,3.116871122289236240e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.411035706173461080e+00,7.091993546469122833e+00,7.965237250989783746e+00
9.167427358862042297e+00,1.031714011448373469e+01,1.119040374578300145e+01,1.225506968675442465e+01,1.331980864767184869e+01,1.414647083106625303e+01,1.541688342415692148e+01,1.653073280263460276e+01,3.054351039616527430e-01,1.364341556399292443e+00,2.364626302083959075e+00,3.308213249457107707e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.952957194493844639e+00,6.470521697722485754e+00,7.240381244724428456e+00,8.157037575441759003e+00
9.387051940700402497e+00,1.055350336288573487e+01,1.141809614516951399e+01,1.248431919479297392e+01,1.354332317164524113e+01,1.436878786523557494e+01,1.564791964622484954e+01,1.676341877621432275e+01,5.381322307282196959e-01,1.595697139341890392e+00,2.592296021501791614e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.955469115977958694e+00,6.568108918386538875e+00,7.409512638818565478e+00,8.358518948725414788e+00
9.610121560151938525e+00,1.079030851565103433e+01,1.164649318640231002e+01,1.271363880442471839e+01,1.376645915493686800e+01,1.459137269341321996e+01,1.587905244655551940e+01,1.699612294590271233e+01,7.707768976845805753e-01,1.826878313840321510e+00,2.806872351676869215e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,5.984383778872935267e+00,6.697211039856991732e+00,7.594416883838075449e+00,8.567276456161689424e+00
9.835794312679112750e+00,1.102711217912651875e+01,1.187541011977087635e+01,1.294292122113968446e+01,1.398929671318357748e+01,1.481420222840999656e+01,1.611027214399602769e+01,1.722883941708893474e+01,1.003362600867770738e+00,2.057413763393210360e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.516390890908720479e+00,6.051751067942287676e+00,6.851089249793684388e+00,7.791210749149595216e+00,8.781496799435071665e+00
1.006343625201604652e+01,1.126359984971823280e+01,1.210470631945646858e+01,1.317208298152938539e+01,1.421191917684497241e+01,1.503725751085768536e+01,1.634157084168681706e+01,1.615629982708490786e-01,1.235870735597355718e+00,2.282366140976929358e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.522311867420338416e+00,6.154039516324242953e+00,7.024008435704327979e+00,7.996916616628393371e+00,8.999819619641325374e+00
1.029256871836908260e+01,1.149955929765907570e+01,1.233427374915920893e+01,1.340105990167093353e+01,1.443440737701605769e+01,1.526052274081864368e+01,1.657294197242110556e+01,3.942887196835407337e-01,1.468167997923583101e+00,2.463581519173853707e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081451828131374526e+00,5.560098399047117113e+00,6.284777512177978309e+00,7.211387569555792965e+00,8.209275871484688736e+00,9.221227771615300384e+00
1.052282889554167866e+01,1.173485963535533472e+01,1.256402842940418907e+01,1.362980371910889232e+01,1.465683564163673225e+01,1.548398455518390904e+01,1.680437995566073539e+01,6.270089300426455736e-01,1.698814551538131212e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.081465231405697835e+00,5.636478354094403898e+00,6.437784681255603658e+00,7.409672621405828608e+00,8.426586975847779826e+00,9.444962409873735254e+00
1.075394042213282830e+01,1.196943426832037005e+01,1.279390414878413651e+01,1.385827956339237232e+01,1.487926928955501182e+01,1.570763148688335775e+01,1.703587988876164161e+01,8.596865291931941044e-01,1.918222544489932346e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.093476197058603105e+00,5.746650702866983096e+00,6.607904084299516256e+00,7.616149102662316039e+00,8.647574023441190860e+00,9.670458152262110474e+00
1.098569157455402490e+01,1.220326651053069611e+01,1.302384785002401202e+01,1.408646398643809050e+01,1.510176336557104548e+01,1.593145355825033960e+01,1.726743686157477953e+01,1.092053468427561569e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.645635333778866283e+00,5.142415286732298085e+00,5.884002101329709689e+00,6.791049279006099226e+00,7.828762757844852871e+00,8.871283533170238655e+00,9.897294003243157334e+00
1.121791911347794723e+01,1.243637712678825835e+01,1.325381626412895741e+01,1.431434335933506929e+01,1.532436234325980706e+01,1.615544196999336179e+01,1.990412507549557120e-01,1.321495475600496405e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.646253362380942775e+00,5.230278481766216458e+00,6.042481243173849492e+00,6.984062163956220814e+00,8.045967898335842250e+00,9.097004920270162387e+00,1.012515642782016911e+01
1.145049634255049398e+01,1.266881343001644211e+01,1.348377347290092132e+01,1.454191250128762647e+01,1.554710053150650140e+01,1.637958882695529894e+01,4.306426547185218112e-01,1.533077015579092262e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.666896034913403213e+00,5.351119863618404082e+00,6.217107673324814954e+00,7.184535635457418579e+00,8.266605811136766846e+00,9.324209903991313553e+00,1.035381168838244648e+01
1.168332428432323411e+01,1.290063980549437872e+01,1.371368916028522733e+01,1.476917345242240742e+01,1.577000294665747049e+01,1.660388664750932719e+01,6.618558827849163606e-01,1.610611811024025286e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.208980614132624254e+00,4.726351919731623497e+00,5.498127593067462016e+00,6.403956742574020922e+00,7.390650105158751870e+00,8.489809979866972611e+00,9.552506672305266733e+00,1.058308519024535244e+01
1.191632515203072273e+01,1.313192966356270119e+01,1.394353737296800944e+01,1.499613433741110669e+01,1.599308643344171799e+01,1.682832548003524664e+01,8.896274308036957734e-01,1.610611811024025286e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.211646382156654767e+00,4.823014260000203279e+00,5.665315161815438927e+00,6.600003069012469581e+00,7.601037131905737709e+00,8.714933408302751872e+00,9.781605369717393472e+00,1.081284610254143885e+01
1.214943750438082759e+01,1.336275885774985284e+01,1.417329565540394753e+01,1.522280829239845445e+01,1.621636071859778383e+01,1.705287578329135556e+01,1.099101537143948093e+00,1.610611811024025286e+00,2.043430091135430615e+00,2.476141628506237424e+00,2.908659580600410521e+00,3.341780234683138673e+00,3.776970836620616723e+00,4.241292864248716654e+00,4.950443616894371957e+00,5.847830460668770769e+00,6.802943778368241823e+00,7.814670809008529062e+00,8.941493462808065118e+00,1.001129218915425767e+01,1.104299593455740691e+01
