1.529726438802135746e+01,1.627251524976589891e+01,1.707961987814617189e+01,6.519727826453376451e-01,1.470495339517434275e+00,2.277146759502123530e+00,3.069834690578396419e+00,3.836855963993478724e+00,4.740628552873225487e+00,5.566462346036495035e+00,6.332689826357771778e+00,7.180885815818918161e+00,8.064634400316855078e+00,8.854643320554224317e+00,9.919494734404700864e+00,1.077811780291315102e+01,1.182356728285164849e+01,1.253428737430217410e+01,1.359883150373163829e+01,1.441466752373295179e+01
1.550407917953630133e+01,1.647933642868668969e+01,1.728644214886066877e+01,8.587957098520391241e-01,1.677317691435654012e+00,2.483967944633114655e+00,3.276654348971383968e+00,4.043674059229850570e+00,4.947442465551965540e+00,5.773273114913955339e+00,6.539498467614144772e+00,7.387690839935281417e+00,8.271435284473646732e+00,9.061442313688438333e+00,1.012628680091787459e+01,1.098490983331591764e+01,1.203036202467662719e+01,1.274108334007100751e+01,1.380563783893452268e+01,1.462147741747880758e+01
1.571089447909032444e+01,1.668615787441570930e+01,1.932645628570739404e-01,1.065618594103135308e+00,1.884139874310299945e+00,2.690788856298205189e+00,3.483473652755741057e+00,4.250491744723056797e+00,5.154255864213233451e+00,5.980083346808520162e+00,6.746306575208244283e+00,7.594495356336459224e+00,8.478235733044492406e+00,9.268240933910099955e+00,1.033307880836283488e+01,1.119170195644775134e+01,1.223715721725053385e+01,1.294787978338776924e+01,1.401244482787145529e+01,1.482828792128540130e+01
1.591771027050272025e+01,1.689297956389550492e+01,4.000870965815792601e-01,1.272441412490898927e+00,2.090961867124939033e+00,2.897609476045509780e+00,3.690292586370695460e+00,4.457309007637796583e+00,5.361068742955431787e+00,6.186893040551375123e+00,6.953114151002772303e+00,7.801299371848550379e+00,8.685035758125842165e+00,9.475039195432053418e+00,1.053987077787612492e+01,1.139849419204025338e+01,1.244395287306283393e+01,1.315467671477360767e+01,1.421925246488429906e+01,1.503509902492097439e+01
1.612452653702326799e+01,1.709980147388735006e+01,6.069097264776459610e-01,1.479264142363227563e+00,2.297783649285769059e+00,3.104429785974126332e+00,3.897111134898374019e+00,4.664125835839762146e+00,5.567881096668905627e+00,6.393702195756326034e+00,7.159921197610309207e+00,8.008102893961414281e+00,8.891835372324941034e+00,9.681837112869366990e+00,1.074666273047576937e+01,1.160528655950556498e+01,1.265074900385237555e+01,1.336147414397841970e+01,1.442606074345516021e+01,1.524191071739246439e+01
1.633134326135815328e+01,6.623581008021517391e-03,8.137324290191472187e-01,1.686086761354907537e+00,2.504605200646004448e+00,3.311249768754372269e+00,4.103929284082219908e+00,4.870942217907575866e+00,5.774692921037363647e+00,6.600510812814796680e+00,7.366727718384332491e+00,8.214905930816222224e+00,9.098634588737546380e+00,9.888634701212275502e+00,1.095345468703199998e+01,1.181207907790987832e+01,1.285754562059624817e+01,1.356827207997641693e+01,1.463286965622025804e+01,1.544872298696557067e+01
1.653816042569753719e+01,2.134458617602135178e-01,1.020555180742881873e+00,1.892909247416206142e+00,2.711426501530773692e+00,3.518069407649953462e+00,4.310747020342510893e+00,5.077758143144727399e+00,5.981504212538446552e+00,6.807318892890258155e+00,7.573533717407791244e+00,8.421708491186471690e+00,9.305433420925645294e+00,1.009543197580179452e+01,1.116024666823900446e+01,1.201887176595109707e+01,1.306434273350006237e+01,1.377507053095782652e+01,1.483967919498640953e+01,1.565553582118811704e+01
1.674497801174613798e+01,4.202682925691405558e-01,1.227377958282737325e+00,2.099731578843453406e+00,2.918247532765882113e+00,3.724888686538427862e+00,4.517564330790683869e+00,5.284573601590089709e+00,6.188314968445091324e+00,7.014126437908167588e+00,7.780339199483158552e+00,8.628510584461956512e+00,9.512231882892898227e+00,1.030222895230470925e+01,1.136703869458730054e+01,1.222566464193626956e+01,1.327114035199220865e+01,1.398186950432457110e+01,1.504648935074967397e+01,1.586234920691136807e+01
1.695179600074898119e+01,6.270908498137472975e-01,1.434200738401010256e+00,2.306553734307350112e+00,3.125068275698446030e+00,3.931707589930361735e+00,4.724381203244455207e+00,5.491388584026331898e+00,6.395125186818880536e+00,7.220933450550852228e+00,7.987144170118050113e+00,8.835312220628416924e+00,9.719029989061901631e+00,1.050902564668816552e+01,1.157383078633537110e+01,1.243245772375720293e+01,1.347793848471578571e+01,1.418866900668776765e+01,1.525330011371200811e+01,1.606916313031288013e+01
1.715861437352158347e+01,8.339135098614391950e-01,1.641023498020011573e+00,2.513375692880536860e+00,3.331888712222074389e+00,4.138526102986837429e+00,4.931197626238848386e+00,5.698203081988332031e+00,6.601934866512372935e+00,7.427739934244208087e+00,8.193948635512775525e+00,9.042113410249065453e+00,9.925827754250313717e+00,1.071582207519607977e+01,1.178062296348414151e+01,1.263925102887034058e+01,1.368473713952240445e+01,1.439546904386335058e+01,1.546011147330224134e+01,1.627597757691969349e+01
