rho,N,mode,b,mean_velocity,seed
0.11560693641618497,2,hard,0.0,1.2278665763026217,12345
0.11560693641618497,2,hard,0.56,1.2369194039453515,12346
0.11560693641618497,2,hard,1.06,1.200156586032793,12347
0.11560693641618497,2,remote,0.0,1.2357702256416094,12348
0.11560693641618497,2,remote,0.56,1.2947150899291011,12349
0.17341040462427745,3,hard,0.0,1.1882564523198194,12350
0.17341040462427745,3,hard,0.56,1.226975856633174,12351
0.17341040462427745,3,hard,1.06,1.232858185742538,12352
0.17341040462427745,3,remote,0.0,1.1794180939498817,12353
0.17341040462427745,3,remote,0.56,1.2530775221371784,12354
0.23121387283236994,4,hard,0.0,1.181561278377494,12355
0.23121387283236994,4,hard,0.56,1.2115213309728683,12356
0.23121387283236994,4,hard,1.06,1.1658396425817465,12357
0.23121387283236994,4,remote,0.0,1.182442874328193,12358
0.23121387283236994,4,remote,0.56,1.1763796001732105,12359
0.2890173410404624,5,hard,0.0,1.2154621606440428,12360
0.2890173410404624,5,hard,0.56,1.1502135136409972,12361
0.2890173410404624,5,hard,1.06,1.217133771833501,12362
0.2890173410404624,5,remote,0.0,1.200688537504113,12363
0.2890173410404624,5,remote,0.56,1.1733907548013158,12364
0.3468208092485549,6,hard,0.0,1.0947594261328844,12365
0.3468208092485549,6,hard,0.56,1.161386487783991,12366
0.3468208092485549,6,hard,1.06,1.1836252463611014,12367
0.3468208092485549,6,remote,0.0,1.1587311782078888,12368
0.3468208092485549,6,remote,0.56,1.1898804825822404,12369
0.40462427745664736,7,hard,0.0,1.218917768706847,12370
0.40462427745664736,7,hard,0.56,1.212513020122656,12371
0.40462427745664736,7,hard,1.06,1.2019822439796657,12372
0.40462427745664736,7,remote,0.0,1.1932815421012628,12373
0.40462427745664736,7,remote,0.56,1.1643200196141152,12374
0.4624277456647399,8,hard,0.0,1.151768974638738,12375
0.4624277456647399,8,hard,0.56,1.1678259735718515,12376
0.4624277456647399,8,hard,1.06,1.1605397628429037,12377
0.4624277456647399,8,remote,0.0,1.1904991796299635,12378
0.4624277456647399,8,remote,0.56,1.193157588871986,12379
0.5202312138728323,9,hard,0.0,1.2150170241081528,12380
0.5202312138728323,9,hard,0.56,1.2025038183339714,12381
0.5202312138728323,9,hard,1.06,1.0249559091129705,12382
0.5202312138728323,9,remote,0.0,1.1887812339197805,12383
0.5202312138728323,9,remote,0.56,1.1374346204707781,12384
0.5780346820809248,10,hard,0.0,1.1808531630254773,12385
0.5780346820809248,10,hard,0.56,1.1723604598288104,12386
0.5780346820809248,10,hard,1.06,0.8340612175228247,12387
0.5780346820809248,10,remote,0.0,1.1135268094873985,12388
0.5780346820809248,10,remote,0.56,1.1521570468051499,12389
0.6358381502890174,11,hard,0.0,1.1341717424112758,12390
0.6358381502890174,11,hard,0.56,1.1683989856185089,12391
0.6358381502890174,11,hard,1.06,0.6902611431507766,12392
0.6358381502890174,11,remote,0.0,1.176945109844635,12393
0.6358381502890174,11,remote,0.56,1.0966790033079765,12394
0.6936416184971098,12,hard,0.0,1.1007682810426642,12395
0.6936416184971098,12,hard,0.56,1.1313828781586457,12396
0.6936416184971098,12,hard,1.06,0.5918626160914825,12397
0.6936416184971098,12,remote,0.0,1.1850556567015582,12398
0.6936416184971098,12,remote,0.56,1.0480646940321519,12399
0.7514450867052023,13,hard,0.0,1.0894133125348915,12400
0.7514450867052023,13,hard,0.56,1.071803498642852,12401
0.7514450867052023,13,hard,1.06,0.5164671132367913,12402
0.7514450867052023,13,remote,0.0,1.1609737465404915,12403
0.7514450867052023,13,remote,0.56,0.9807473402885986,12404
0.8092485549132947,14,hard,0.0,1.1607032159777708,12405
0.8092485549132947,14,hard,0.56,0.9342829519302326,12406
0.8092485549132947,14,hard,1.06,0.4586715812996212,12407
0.8092485549132947,14,remote,0.0,1.1614378626319342,12408
0.8092485549132947,14,remote,0.56,0.9045070655756068,12409
0.8670520231213873,15,hard,0.0,1.1485986900801552,12410
0.8670520231213873,15,hard,0.56,0.8208976367348396,12411
0.8670520231213873,15,hard,1.06,0.4111525557395465,12412
0.8670520231213873,15,remote,0.0,1.0890680835411009,12413
0.8670520231213873,15,remote,0.56,0.8352174753829508,12414
0.9248554913294798,16,hard,0.0,1.1460939313267071,12415
0.9248554913294798,16,hard,0.56,0.7254435307384058,12416
0.9248554913294798,16,hard,1.06,0.36795844180976384,12417
0.9248554913294798,16,remote,0.0,1.1206010108419056,12418
0.9248554913294798,16,remote,0.56,0.7531717707444209,12419
0.9826589595375722,17,hard,0.0,1.1886648815491276,12420
0.9826589595375722,17,hard,0.56,0.651564088076571,12421
0.9826589595375722,17,hard,1.06,0.33355297586798427,12422
0.9826589595375722,17,remote,0.0,1.1004373408348538,12423
0.9826589595375722,17,remote,0.56,0.6789608339617483,12424
1.0404624277456647,18,hard,0.0,1.1366045022082156,12425
1.0404624277456647,18,hard,0.56,0.5912641439688218,12426
1.0404624277456647,18,hard,1.06,0.30221131613709706,12427
1.0404624277456647,18,remote,0.0,1.0925201423450237,12428
1.0404624277456647,18,remote,0.56,0.604618820082938,12429
1.0982658959537572,19,hard,0.0,1.168612285170856,12430
1.0982658959537572,19,hard,0.56,0.5327277530022405,12431
1.0982658959537572,19,hard,1.06,0.27519973967319195,12432
1.0982658959537572,19,remote,0.0,1.0853476082246791,12433
1.0982658959537572,19,remote,0.56,0.5383692442217938,12434
1.1560693641618496,20,hard,0.0,1.1368874479784048,12435
1.1560693641618496,20,hard,0.56,0.48469830665517066,12436
1.1560693641618496,20,hard,1.06,0.2505320372818546,12437
1.1560693641618496,20,remote,0.0,0.7924623315114717,12438
1.1560693641618496,20,remote,0.56,0.48250969325887455,12439
1.2138728323699421,21,hard,0.0,1.110322395890531,12440
1.2138728323699421,21,hard,0.56,0.4418149087198162,12441
1.2138728323699421,21,hard,1.06,0.2294667460098802,12442
1.2138728323699421,21,remote,0.0,0.7174531383780477,12443
1.2138728323699421,21,remote,0.56,0.41482662613073235,12444
1.2716763005780347,22,hard,0.0,1.1099330294186667,12445
1.2716763005780347,22,hard,0.56,0.40274917185965553,12446
1.2716763005780347,22,hard,1.06,0.2096960213754887,12447
1.2716763005780347,22,remote,0.0,0.6455729421558819,12448
1.2716763005780347,22,remote,0.56,0.3691909154651838,12449
1.329479768786127,23,hard,0.0,1.1300104347692541,12450
1.329479768786127,23,hard,0.56,0.3689016035628593,12451
1.329479768786127,23,hard,1.06,0.19186428920542506,12452
1.329479768786127,23,remote,0.0,0.5902126841753308,12453
1.329479768786127,23,remote,0.56,0.3156663256020371,12454
1.3872832369942196,24,hard,0.0,1.1107184667723857,12455
1.3872832369942196,24,hard,0.56,0.33643063803967665,12456
1.3872832369942196,24,hard,1.06,0.17601775311343382,12457
1.3872832369942196,24,remote,0.0,0.5183938775365425,12458
1.3872832369942196,24,remote,0.56,0.2669585210450737,12459
1.445086705202312,25,hard,0.0,1.0862724890181115,12460
1.445086705202312,25,hard,0.56,0.30893875566343587,12461
1.445086705202312,25,hard,1.06,0.16144041428572117,12462
1.445086705202312,25,remote,0.0,0.4760032139171385,12463
1.445086705202312,25,remote,0.56,0.22499288551746746,12464
1.5028901734104045,26,hard,0.0,1.0783232814352364,12465
1.5028901734104045,26,hard,0.56,0.28315164610949173,12466
1.5028901734104045,26,hard,1.06,0.148028643973646,12467
1.5028901734104045,26,remote,0.0,0.42519585673667537,12468
1.5028901734104045,26,remote,0.56,0.18720641745487376,12469
1.560693641618497,27,hard,0.0,1.044532544555431,12470
1.560693641618497,27,hard,0.56,0.25970063848700575,12471
1.560693641618497,27,hard,1.06,0.13566031135946072,12472
1.560693641618497,27,remote,0.0,0.37633175836871385,12473
1.560693641618497,27,remote,0.56,0.15111772126937476,12474
1.6184971098265895,28,hard,0.0,1.0198745525584332,12475
1.6184971098265895,28,hard,0.56,0.23746202187828716,12476
1.6184971098265895,28,hard,1.06,0.12422784905772734,12477
1.6184971098265895,28,remote,0.0,0.3391457603003898,12478
1.6184971098265895,28,remote,0.56,0.11295172186803376,12479
1.676300578034682,29,hard,0.0,0.9825455230827584,12480
1.676300578034682,29,hard,0.56,0.21676157159468895,12481
1.676300578034682,29,hard,1.06,0.11368701060195703,12482
1.676300578034682,29,remote,0.0,0.30501564843950746,12483
1.676300578034682,29,remote,0.56,0.08000192585289795,12484
1.7341040462427746,30,hard,0.0,0.9583759838848167,12485
1.7341040462427746,30,hard,0.56,0.1980252570708684,12486
1.7341040462427746,30,hard,1.06,0.10388764504734507,12487
1.7341040462427746,30,remote,0.0,0.2614680848087162,12488
1.7341040462427746,30,remote,0.56,0.048080702024236005,12489
1.791907514450867,31,hard,0.0,0.9388201459745102,12490
1.791907514450867,31,hard,0.56,0.18053902945454461,12491
1.791907514450867,31,hard,1.06,0.09471075127130496,12492
1.791907514450867,31,remote,0.0,0.2220643964769834,12493
1.791907514450867,31,remote,0.56,0.019001256994857732,12494
1.8497109826589595,32,hard,0.0,0.8906586837985625,12495
1.8497109826589595,32,hard,0.56,0.1642699198577721,12496
1.8497109826589595,32,hard,1.06,0.08620446813478706,12497
1.8497109826589595,32,remote,0.0,0.19425491865427919,12498
1.8497109826589595,32,remote,0.56,5.688447556516089e-13,12499
1.9075144508670518,33,hard,0.0,0.8584077783134554,12500
1.9075144508670518,33,hard,0.56,0.14900277146413995,12501
1.9075144508670518,33,hard,1.06,0.07820329550464708,12502
1.9075144508670518,33,remote,0.0,0.16787165059043924,12503
1.9075144508670518,33,remote,0.56,4.3544357504336943e-13,12504
1.9653179190751444,34,hard,0.0,0.8282929486508118,12505
1.9653179190751444,34,hard,0.56,0.13472733297514886,12506
1.9653179190751444,34,hard,1.06,0.07070303742409338,12507
1.9653179190751444,34,remote,0.0,0.1327327069638708,12508
1.9653179190751444,34,remote,0.56,2.897588333210967e-13,12509
2.0231213872832368,35,hard,0.0,0.8007891351505106,12510
2.0231213872832368,35,hard,0.56,0.12127671998208736,12511
2.0231213872832368,35,hard,1.06,0.06365288905275322,12512
2.0231213872832368,35,remote,0.0,0.10946710679001752,12513
2.0231213872832368,35,remote,0.56,3.2420487196719445e-13,12514
2.0809248554913293,36,hard,0.0,0.7689722188297694,12515
2.0809248554913293,36,hard,0.56,0.10864510576491747,12516
2.0809248554913293,36,hard,1.06,0.05702021190582772,12517
2.0809248554913293,36,remote,0.0,0.0,12518
2.0809248554913293,36,remote,0.56,2.1383898413020414e-13,12519
2.138728323699422,37,hard,0.0,0.734295070037674,12520
2.138728323699422,37,hard,0.56,0.09671047715211745,12521
2.138728323699422,37,hard,1.06,0.050730653000394435,12522
2.138728323699422,37,remote,0.0,0.0,12523
2.138728323699422,37,remote,0.56,1.4188146248535585e-13,12524
2.1965317919075145,38,hard,0.0,0.6920118293134875,12525
2.1965317919075145,38,hard,0.56,0.08550261199989223,12526
2.1965317919075145,38,hard,1.06,0.0448183386512937,12527
2.1965317919075145,38,remote,0.0,0.0,12528
2.1965317919075145,38,remote,0.56,8.18097535582472e-14,12529
2.254335260115607,39,hard,0.0,0.6572463758559791,12530
2.254335260115607,39,hard,0.56,0.0748357431024306,12531
2.254335260115607,39,hard,1.06,0.039279685901635934,12532
2.254335260115607,39,remote,0.0,0.0,12533
2.254335260115607,39,remote,0.56,1.0352802499287811e-13,12534
2.312138728323699,40,hard,0.0,0.6156691670096524,12535
2.312138728323699,40,hard,0.56,0.06476715680094433,12536
2.312138728323699,40,hard,1.06,0.03392902430223051,12537
2.312138728323699,40,remote,0.0,0.0,12538
2.312138728323699,40,remote,0.56,6.940875648786559e-14,12539
2.3699421965317917,41,hard,0.0,0.5861962864941048,12540
2.3699421965317917,41,hard,0.56,0.055182659440819695,12541
2.3699421965317917,41,hard,1.06,0.02885379863366371,12542
2.3699421965317917,41,remote,0.0,0.0,12543
2.3699421965317917,41,remote,0.56,1.2674936282063028e-14,12544
2.4277456647398843,42,hard,0.0,0.5221418880191814,12545
2.4277456647398843,42,hard,0.56,0.04612813894397779,12546
2.4277456647398843,42,hard,1.06,0.02407225729674468,12547
2.4277456647398843,42,remote,0.0,0.0,12548
2.4277456647398843,42,remote,0.56,0.0,12549
2.485549132947977,43,hard,0.0,0.4904109162610158,12550
2.485549132947977,43,hard,0.56,0.0374437409901331,12551
2.485549132947977,43,hard,1.06,0.01949841566527403,12552
2.485549132947977,43,remote,0.0,0.0,12553
2.485549132947977,43,remote,0.56,0.0,12554
2.5433526011560694,44,hard,0.0,0.43142338710829814,12555
2.5433526011560694,44,hard,0.56,0.0292275046725264,12556
2.5433526011560694,44,hard,1.06,0.015146087096101338,12557
2.5433526011560694,44,remote,0.0,0.0,12558
2.5433526011560694,44,remote,0.56,0.0,12559
2.6011560693641615,45,hard,0.0,0.3719805278994009,12560
2.6011560693641615,45,hard,0.56,0.02144065554232857,12561
2.6011560693641615,45,hard,1.06,0.01107835351191983,12562
2.6011560693641615,45,remote,0.0,0.0,12563
2.6011560693641615,45,remote,0.56,0.0,12564
2.658959537572254,46,hard,0.0,0.30433919693123246,12565
2.658959537572254,46,hard,0.56,0.013843637993269667,12566
2.658959537572254,46,hard,1.06,0.007157327895707311,12567
2.658959537572254,46,remote,0.0,0.0,12568
